City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Laguna De Perlas,NI,80.69,scattered clouds,12.3429,-83.6712,Hotel Best View
414,Progreso,MX,77.11,few clouds,21.2833,-89.6667,Playa Linda Hotel
419,Ancud,CL,76.53,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
421,Porto Walter,BR,77.7,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
426,Kirakira,SB,78.94,overcast clouds,-10.4544,161.9205,SanBiz Lodge
427,Nueva Loja,EC,75.2,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
431,Bambanglipuro,ID,76.71,overcast clouds,-7.95,110.2833,Puri Brata
437,Namatanai,PG,84.99,light rain,-3.6667,152.4333,Seagulls Inn Namatani
440,Zaraza,VE,75.69,scattered clouds,9.3503,-65.3245,Hotel Zaraza
451,Acarau,BR,75.96,overcast clouds,-2.8856,-40.12,castelo pizzaria
453,Faanui,PF,81.05,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
457,San Lorenzo,PY,79.74,broken clouds,-25.3333,-57.5333,Hotel del Sur
460,Touros,BR,77.9,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
462,Kismayo,SO,75.92,scattered clouds,-0.3582,42.5454,Agan-Hotel
465,Gawler,AU,78.6,few clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
473,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
483,Muli,MV,80.08,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
497,Buin,CL,77.32,clear sky,-33.7333,-70.75,Paihuen
501,Kununurra,AU,82.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
502,Noumea,NC,78.78,heavy intensity rain,-22.2763,166.4572,Hôtel Le Lagon
508,Richards Bay,ZA,76.77,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
509,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
510,Wahiawa,US,79.12,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
511,Tual,ID,84.16,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
512,Kiama,AU,85.24,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
513,Pochutla,MX,82.81,few clouds,15.7432,-96.4661,Hotel Posada San Jose
514,Puerto Colombia,CO,80.69,few clouds,10.9878,-74.9547,Hotel El Emigrante
528,Iralaya,HN,76.91,clear sky,15.0,-83.2333,Iglesia morava renovada
541,Maxixe,MZ,75.31,broken clouds,-23.8597,35.3472,Oceano
554,Mackay,AU,82.38,broken clouds,-21.15,149.2,International Lodge Motel
562,Pandan,PH,80.62,broken clouds,14.0453,124.1694,Bonifacio Lodge
566,Axim,GH,78.75,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
568,Fare,PF,80.44,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
577,Oistins,BB,75.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
583,Jales,BR,79.21,overcast clouds,-20.2689,-50.5458,Geraldelli Center Hotel
588,Tambilil,PH,83.64,scattered clouds,5.9622,124.6697,Wilfredo Sotto Home
589,Kulhudhuffushi,MV,79.12,scattered clouds,6.6221,73.07,Haajy Guest House 1
